network_id,station_id,gap_length,season,placement,gap_start,model_family,mae_deg_c,seed
arso_kamniska_bistrica,4400,30,MAM,3,2021-05-04,neural_bilstm,0.3001574277877807,0
arso_kamniska_bistrica,4400,30,SON,4,2021-10-14,neural_bilstm,0.4524190127849579,0
arso_kamniska_bistrica,4400,90,DJF,0,2020-01-01,neural_bilstm,1.5021133422851562,0
arso_kamniska_bistrica,4400,90,JJA,1,2020-06-04,neural_bilstm,1.7325162887573242,0
arso_kamniska_bistrica,4400,90,SON,2,2020-11-07,neural_bilstm,1.637967228889465,0
arso_kamniska_bistrica,4400,90,MAM,3,2021-04-11,neural_bilstm,0.4656630754470825,0
arso_kamniska_bistrica,4400,90,SON,4,2021-09-14,neural_bilstm,1.127147555351257,0
arso_kamniska_bistrica,4430,7,DJF,0,2020-01-01,neural_bilstm,5.429205894470215,0
arso_kamniska_bistrica,4430,7,JJA,1,2020-06-14,neural_bilstm,1.64975106716156,0
arso_kamniska_bistrica,4430,7,SON,2,2020-11-27,neural_bilstm,5.004380226135254,0
arso_kamniska_bistrica,4430,7,MAM,3,2021-05-12,neural_bilstm,2.414194345474243,0
arso_kamniska_bistrica,4430,7,SON,4,2021-10-25,neural_bilstm,3.706673860549927,0
arso_kamniska_bistrica,4430,30,DJF,0,2020-01-01,neural_bilstm,5.330155849456787,0
arso_kamniska_bistrica,4430,30,JJA,1,2020-06-12,neural_bilstm,0.9501250982284546,0
arso_kamniska_bistrica,4430,30,SON,2,2020-11-22,neural_bilstm,4.29135274887085,0
arso_kamniska_bistrica,4430,30,MAM,3,2021-05-04,neural_bilstm,2.1935601234436035,0
arso_kamniska_bistrica,4430,30,SON,4,2021-10-14,neural_bilstm,2.677439451217652,0
arso_kamniska_bistrica,4430,90,DJF,0,2020-01-01,neural_bilstm,3.936848163604736,0
arso_kamniska_bistrica,4430,90,JJA,1,2020-06-04,neural_bilstm,1.023176908493042,0
arso_kamniska_bistrica,4430,90,SON,2,2020-11-07,neural_bilstm,3.9768574237823486,0
arso_kamniska_bistrica,4430,90,MAM,3,2021-04-11,neural_bilstm,1.6516188383102417,0
arso_kamniska_bistrica,4430,90,SON,4,2021-09-14,neural_bilstm,2.478574752807617,0
arso_kamniska_bistrica,4445,7,DJF,0,2020-01-01,neural_bilstm,3.512733459472656,0
arso_kamniska_bistrica,4445,7,JJA,1,2020-06-14,neural_bilstm,2.130901575088501,0
arso_kamniska_bistrica,4445,7,SON,2,2020-11-27,neural_bilstm,2.443396806716919,0
arso_kamniska_bistrica,4445,7,MAM,3,2021-05-12,neural_bilstm,0.2081755250692367,0
arso_kamniska_bistrica,4445,7,SON,4,2021-10-25,neural_bilstm,0.7989751100540161,0
arso_kamniska_bistrica,4445,30,DJF,0,2020-01-01,neural_bilstm,2.626685857772827,0
arso_kamniska_bistrica,4445,30,JJA,1,2020-06-12,neural_bilstm,2.9233269691467285,0
arso_kamniska_bistrica,4445,30,SON,2,2020-11-22,neural_bilstm,2.37814736366272,0
arso_kamniska_bistrica,4445,30,MAM,3,2021-05-04,neural_bilstm,0.4905153810977936,0
arso_kamniska_bistrica,4445,30,SON,4,2021-10-14,neural_bilstm,0.7223606109619141,0
arso_kamniska_bistrica,4445,90,DJF,0,2020-01-01,neural_bilstm,1.7738901376724243,0
arso_kamniska_bistrica,4445,90,JJA,1,2020-06-04,neural_bilstm,3.337330818176269,0
arso_kamniska_bistrica,4445,90,SON,2,2020-11-07,neural_bilstm,2.4326958656311035,0
arso_kamniska_bistrica,4445,90,MAM,3,2021-04-11,neural_bilstm,1.3465566635131836,0
arso_kamniska_bistrica,4445,90,SON,4,2021-09-14,neural_bilstm,1.6239949464797974,0
arso_kamniska_bistrica,4400,7,DJF,0,2020-01-01,neural_bilstm,3.578900098800659,1
arso_kamniska_bistrica,4400,7,JJA,1,2020-06-14,neural_bilstm,1.408834457397461,1
arso_kamniska_bistrica,4400,7,SON,2,2020-11-27,neural_bilstm,3.710775375366211,1
arso_kamniska_bistrica,4400,7,MAM,3,2021-05-12,neural_bilstm,1.595096468925476,1
arso_kamniska_bistrica,4400,7,SON,4,2021-10-25,neural_bilstm,1.990167617797852,1
arso_kamniska_bistrica,4400,30,DJF,0,2020-01-01,neural_bilstm,3.441807985305786,1
arso_kamniska_bistrica,4400,30,JJA,1,2020-06-12,neural_bilstm,0.6887037754058838,1
arso_kamniska_bistrica,4400,30,SON,2,2020-11-22,neural_bilstm,3.0164003372192383,1
arso_kamniska_bistrica,4400,30,MAM,3,2021-05-04,neural_bilstm,1.599328875541687,1
arso_kamniska_bistrica,4400,30,SON,4,2021-10-14,neural_bilstm,1.6837328672409058,1
arso_kamniska_bistrica,4400,90,DJF,0,2020-01-01,neural_bilstm,2.74442195892334,1
arso_kamniska_bistrica,4400,90,JJA,1,2020-06-04,neural_bilstm,0.86822110414505,1
arso_kamniska_bistrica,4400,90,SON,2,2020-11-07,neural_bilstm,2.9175615310668945,1
arso_kamniska_bistrica,4400,90,MAM,3,2021-04-11,neural_bilstm,1.4825795888900757,1
arso_kamniska_bistrica,4400,90,SON,4,2021-09-14,neural_bilstm,1.7524522542953491,1
arso_kamniska_bistrica,4430,7,DJF,0,2020-01-01,neural_bilstm,3.670799732208252,1
arso_kamniska_bistrica,4430,7,JJA,1,2020-06-14,neural_bilstm,2.4406497478485107,1
arso_kamniska_bistrica,4430,7,SON,2,2020-11-27,neural_bilstm,3.192004442214966,1
arso_kamniska_bistrica,4430,7,MAM,3,2021-05-12,neural_bilstm,0.164535254240036,1
arso_kamniska_bistrica,4430,7,SON,4,2021-10-25,neural_bilstm,1.4531291723251345,1
arso_kamniska_bistrica,4430,30,DJF,0,2020-01-01,neural_bilstm,3.928639888763428,1
arso_kamniska_bistrica,4430,30,JJA,1,2020-06-12,neural_bilstm,1.7070505619049072,1
arso_kamniska_bistrica,4430,30,SON,2,2020-11-22,neural_bilstm,2.764512777328491,1
arso_kamniska_bistrica,4430,30,MAM,3,2021-05-04,neural_bilstm,0.4094319343566894,1
arso_kamniska_bistrica,4430,30,SON,4,2021-10-14,neural_bilstm,0.9644016027450562,1
arso_kamniska_bistrica,4430,90,DJF,0,2020-01-01,neural_bilstm,2.512406349182129,1
arso_kamniska_bistrica,4430,90,JJA,1,2020-06-04,neural_bilstm,1.4063007831573486,1
arso_kamniska_bistrica,4430,90,SON,2,2020-11-07,neural_bilstm,2.55757474899292,1
arso_kamniska_bistrica,4430,90,MAM,3,2021-04-11,neural_bilstm,1.012128829956055,1
arso_kamniska_bistrica,4430,90,SON,4,2021-09-14,neural_bilstm,1.409701585769653,1
arso_kamniska_bistrica,4445,7,DJF,0,2020-01-01,neural_bilstm,1.6860779523849487,1
arso_kamniska_bistrica,4445,7,JJA,1,2020-06-14,neural_bilstm,0.2593409717082977,1
arso_kamniska_bistrica,4445,7,SON,2,2020-11-27,neural_bilstm,0.6770826578140259,1
arso_kamniska_bistrica,4445,7,MAM,3,2021-05-12,neural_bilstm,1.491835594177246,1
arso_kamniska_bistrica,4445,7,SON,4,2021-10-25,neural_bilstm,0.6826586127281189,1
arso_kamniska_bistrica,4445,30,DJF,0,2020-01-01,neural_bilstm,0.9739611148834229,1
arso_kamniska_bistrica,4445,30,JJA,1,2020-06-12,neural_bilstm,0.5235205888748169,1
arso_kamniska_bistrica,4445,30,SON,2,2020-11-22,neural_bilstm,0.6779974102973938,1
arso_kamniska_bistrica,4445,30,MAM,3,2021-05-04,neural_bilstm,1.2551530599594116,1
arso_kamniska_bistrica,4445,30,SON,4,2021-10-14,neural_bilstm,0.8834781050682068,1
arso_kamniska_bistrica,4445,90,DJF,0,2020-01-01,neural_bilstm,0.778294026851654,1
arso_kamniska_bistrica,4445,90,JJA,1,2020-06-04,neural_bilstm,0.6728395819664001,1
arso_kamniska_bistrica,4445,90,SON,2,2020-11-07,neural_bilstm,1.0212812423706057,1
arso_kamniska_bistrica,4445,90,MAM,3,2021-04-11,neural_bilstm,1.2631902694702148,1
arso_kamniska_bistrica,4445,90,SON,4,2021-09-14,neural_bilstm,0.90507709980011,1
arso_kamniska_bistrica,4400,7,DJF,0,2020-01-01,neural_bilstm,0.4055485129356384,2
arso_kamniska_bistrica,4400,7,JJA,1,2020-06-14,neural_bilstm,0.5478668212890625,2
arso_kamniska_bistrica,4400,7,SON,2,2020-11-27,neural_bilstm,0.6217789053916931,2
arso_kamniska_bistrica,4400,7,MAM,3,2021-05-12,neural_bilstm,0.2069767564535141,2
arso_kamniska_bistrica,4400,7,SON,4,2021-10-25,neural_bilstm,0.3032734096050262,2
arso_kamniska_bistrica,4400,30,DJF,0,2020-01-01,neural_bilstm,0.3902268707752228,2
arso_kamniska_bistrica,4400,30,JJA,1,2020-06-12,neural_bilstm,0.4654372930526733,2
arso_kamniska_bistrica,4400,30,SON,2,2020-11-22,neural_bilstm,0.480900377035141,2
arso_kamniska_bistrica,4400,30,MAM,3,2021-05-04,neural_bilstm,0.1978474557399749,2
arso_kamniska_bistrica,4400,30,SON,4,2021-10-14,neural_bilstm,0.3538932204246521,2
arso_kamniska_bistrica,4400,90,DJF,0,2020-01-01,neural_bilstm,0.5224575400352478,2
arso_kamniska_bistrica,4400,90,JJA,1,2020-06-04,neural_bilstm,0.5791923403739929,2
arso_kamniska_bistrica,4400,90,SON,2,2020-11-07,neural_bilstm,0.529376745223999,2
arso_kamniska_bistrica,4400,90,MAM,3,2021-04-11,neural_bilstm,0.4809808433055877,2
arso_kamniska_bistrica,4400,90,SON,4,2021-09-14,neural_bilstm,0.4818212389945984,2
arso_kamniska_bistrica,4430,7,DJF,0,2020-01-01,neural_bilstm,2.3357462882995605,2
arso_kamniska_bistrica,4430,7,JJA,1,2020-06-14,neural_bilstm,0.2521474063396454,2
arso_kamniska_bistrica,4430,7,SON,2,2020-11-27,neural_bilstm,1.951571345329285,2
arso_kamniska_bistrica,4430,7,MAM,3,2021-05-12,neural_bilstm,0.779565155506134,2
arso_kamniska_bistrica,4430,7,SON,4,2021-10-25,neural_bilstm,0.5182422399520874,2
arso_kamniska_bistrica,4430,30,DJF,0,2020-01-01,neural_bilstm,2.439854621887207,2
arso_kamniska_bistrica,4430,30,JJA,1,2020-06-12,neural_bilstm,0.3840965330600738,2
arso_kamniska_bistrica,4430,30,SON,2,2020-11-22,neural_bilstm,1.3599164485931396,2
arso_kamniska_bistrica,4430,30,MAM,3,2021-05-04,neural_bilstm,0.403795063495636,2
arso_kamniska_bistrica,4430,30,SON,4,2021-10-14,neural_bilstm,0.585271954536438,2
arso_kamniska_bistrica,4430,90,DJF,0,2020-01-01,neural_bilstm,1.402829885482788,2
arso_kamniska_bistrica,4430,90,JJA,1,2020-06-04,neural_bilstm,0.6869969964027405,2
arso_kamniska_bistrica,4430,90,SON,2,2020-11-07,neural_bilstm,1.202658772468567,2
